設計備審與作品集 Checklist（設計傳播研究所） v2,,,,,
設計備審的作品集要為研究方向服務，排序決定教授先看到什麼。,,,,,
,,,,,
第一段：送件清單盤點,,,,,
文件,系所是否要求,我的狀態,截止日,,
作品集（PDF／連結）,,,,,
研究計畫書,,,,,
自傳／個人陳述,,,,,
學術CV／履歷,,,,,
成績單,,,,,
推薦信,,,,,
語言檢定,,,,,
其他（作品實體、影片連結）,,,,,
每一項的格式規定我都逐字看過（頁數上限、檔案大小、命名規則）。,,,,,
作品集頁數在規定內到到超頁被扣分或被退件的風險不值得冒。,,,,,
,,,,,
第二段：選件到到少而深,,,,,
作品,在解什麼問題,我在其中做了什麼決定,與我的研究方向的關係,,
總件數控制在5到8件、寧可少不要雜。,,,,,
每一件我都說得出「我在其中做了什麼決定」到到不是「我負責視覺」。,,,,,
沒有純粹展示軟體技巧、但沒有問題意識的作品。,,,,,
團體作品有明確標示我的角色與貢獻範圍。,,,,,
課堂作業可以收、但我補上了課堂要求以外我自己多做的部分。,,,,,
,,,,,
第三段：排序,,,,,
位置,放什麼,我的安排,,,
第一件,最能代表我研究方向的那件（教授最可能只看前三件）,,,,
第二、三件,展現方法多樣性或思考深度,,,,
中段,其餘作品、依主題或時間成組,,,,
最後一件,留一件收尾強的、不要用最弱的作品結束,,,,
第一件和我研究計畫的題目對得上。,,,,,
整本翻完看得出一條線索、不是隨機拼盤。,,,,,
,,,,,
第四段：每一件的作品說明,,,,,
欄位,寫什麼,這件的內容,,,
標題與年份,基本資訊,,,,
一句話定位,這件在解什麼問題,,,,
脈絡,課程／自主／接案？限制條件是什麼,,,,
我的角色,團體作品必填、個人作品也要寫負責範圍,,,,
過程,最關鍵的一個決定、以及為什麼這樣決定,,,,
結果與反思,做完之後你知道了什麼；沒解決的是什麼,,,,
每件都有「反思」、而且不是自我稱讚。,,,,,
說明文字用的是判斷的語言（我選擇、我排除、我發現）、不是流程的語言（我先做A再做B）。,,,,,
圖片解析度足夠、順序與文字對得上。,,,,,
,,,,,
第五段：讓作品集支撐研究計畫,,,,,
檢查,我的情況,,,,
研究計畫裡提到的觀察或經驗、作品集裡找得到對應的那件,,,,,
作品集裡至少有一件、是我研究問題的「前身」,,,,,
研究計畫的方法、和我作品集展現的工作方式一致,,,,,
如果教授只看作品集、他猜得到我想做什麼研究,,,,,
這四格都能填、而且填的不是同一句話換句話說。,,,,,
,,,,,
第六段：送件前最後檢核,,,,,
檔名符合規定、且含我的姓名與報考系所。,,,,,
PDF在別台電腦與手機各開過一次、字型沒有跑掉。,,,,,
線上連結不需登入、不需密碼、且我用無痕視窗確認過。,,,,,
所有引用的他人素材都有標示來源。,,,,,
全文沒有錯字、尤其是教授姓名與系所全名。,,,,,
我留了緩衝到到不是截止日當天才上傳。,,,,,

常見失分點自我對照,是否已排除,,,,
作品集依時間排序而不是依研究方向排序,,,,,
第一件不是最能支撐計畫方向的那件,,,,,
每件只有標題與年份，沒有一句話說明在解什麼問題,,,,,
件數求多不求深，稀釋了客製化的品質,,,,,
連結需要登入或密碼，手機打不開,,,,,
作品集與研究計畫指向不同方向，兩份文件互相減分,,,,,

送出前檢核,是否確認,,,,
第一件是最能支撐研究方向的那件,,,,,
每件都有一句話說明在解什麼問題,,,,,
連結不需登入、手機打得開（用無痕視窗確認過）,,,,,
件數是少而深，不是求多,,,,,
作品集與研究計畫指向同一條線,,,,,
圖像品質與色彩一致，翻拍沒有變形,,,,,
